time,DG-FOM,DG-POD ell=10,DG-POD ell=20,DG-POD ell=50,DG-POD ell=100,DG-POD ell=200
4.512500000000e-01,-1.012358465324e-02,-1.038708149942e-02,-1.026551811930e-02,-1.019740820425e-02,-1.078270543895e-02,-1.104911087855e-02
4.518750000000e-01,-1.341494504670e-02,-1.200615798268e-02,-1.223968744089e-02,-1.303834220847e-02,-1.260989915301e-02,-1.357826644546e-02
4.525000000000e-01,-1.661188270370e-02,-1.352191492010e-02,-1.415709503858e-02,-1.666673144032e-02,-1.614852201923e-02,-1.635069334905e-02
4.531250000000e-01,-1.867649494254e-02,-1.487588831289e-02,-1.570363132989e-02,-1.859045625786e-02,-1.965172339389e-02,-1.926081405105e-02
4.537500000000e-01,-1.882850494733e-02,-1.601248372631e-02,-1.666996352732e-02,-1.777972902868e-02,-1.920281666279e-02,-1.824589099065e-02
4.543750000000e-01,-1.603354553466e-02,-1.688748370524e-02,-1.706365679332e-02,-1.596464946403e-02,-1.557665328619e-02,-1.577753489870e-02
4.550000000000e-01,-1.470081978590e-02,-1.747469797381e-02,-1.709646231442e-02,-1.543581236379e-02,-1.425860493941e-02,-1.514600342425e-02
4.556250000000e-01,-1.651548683202e-02,-1.776939775452e-02,-1.705444708462e-02,-1.646641618290e-02,-1.667908649485e-02,-1.602430013850e-02
4.562500000000e-01,-1.767574276424e-02,-1.778793324653e-02,-1.712691606677e-02,-1.757846693778e-02,-1.839920550769e-02,-1.724440118937e-02
4.568750000000e-01,-1.725912830842e-02,-1.756381040208e-02,-1.729499078730e-02,-1.778201727850e-02,-1.756617382955e-02,-1.780983700596e-02
4.575000000000e-01,-1.719782718974e-02,-1.714128877212e-02,-1.734760591683e-02,-1.756210060146e-02,-1.713026191311e-02,-1.853349729639e-02
4.581250000000e-01,-1.839676061650e-02,-1.656807061587e-02,-1.701954919983e-02,-1.762555920470e-02,-1.784153767275e-02,-1.778822738395e-02
4.587500000000e-01,-1.745820612701e-02,-1.588876651840e-02,-1.617392940331e-02,-1.758171365429e-02,-1.730191209750e-02,-1.663761008100e-02
4.593750000000e-01,-1.594225569979e-02,-1.514052521795e-02,-1.492144429888e-02,-1.645756633966e-02,-1.562581979638e-02,-1.594785337100e-02
4.600000000000e-01,-1.441694409540e-02,-1.435158670449e-02,-1.359965934700e-02,-1.414964184167e-02,-1.460911749472e-02,-1.388650269887e-02
4.606250000000e-01,-1.250414890675e-02,-1.354271947848e-02,-1.261215431028e-02,-1.174116856750e-02,-1.335912814850e-02,-1.347331423285e-02
4.612500000000e-01,-1.086568110262e-02,-1.273073682242e-02,-1.220856778165e-02,-1.036812022725e-02,-1.092105370077e-02,-1.124814224620e-02
4.618750000000e-01,-1.033945263867e-02,-1.193274525570e-02,-1.232683429883e-02,-1.019239735153e-02,-9.536143965990e-03,-9.286451886403e-03
4.625000000000e-01,-1.065579894082e-02,-1.116959666947e-02,-1.259363489627e-02,-1.058751540778e-02,-1.055060399389e-02,-1.201313165703e-02
4.631250000000e-01,-1.137951035446e-02,-1.046723982870e-02,-1.249871064505e-02,-1.094170614073e-02,-1.163628696314e-02,-1.107895142878e-02
4.637500000000e-01,-1.116056181364e-02,-9.855241722491e-03,-1.166429760547e-02,-1.098763214831e-02,-1.107494259623e-02,-9.886293404334e-03
4.643750000000e-01,-9.489695304770e-03,-9.362531637953e-03,-1.007305790032e-02,-1.057442433630e-02,-1.004182531935e-02,-9.712342439323e-03
4.650000000000e-01,-9.258301455571e-03,-9.011214898195e-03,-8.129566963166e-03,-9.569190634553e-03,-9.264668668563e-03,-8.818489498945e-03
4.656250000000e-01,-8.269757425904e-03,-8.809907941126e-03,-6.508944888568e-03,-8.139859801358e-03,-7.956260596559e-03,-9.976174581832e-03
4.662500000000e-01,-7.079262953518e-03,-8.748305057173e-03,-5.853342227015e-03,-6.931989595923e-03,-6.535980369610e-03,-7.112170533822e-03
4.668750000000e-01,-6.480172281246e-03,-8.794525908736e-03,-6.458060290749e-03,-6.723236335867e-03,-6.683040405300e-03,-5.631844014659e-03
4.675000000000e-01,-8.591983621749e-03,-8.896240046109e-03,-8.101285844755e-03,-7.812667402980e-03,-8.447620143457e-03,-8.656885335598e-03
4.681250000000e-01,-9.368307792963e-03,-8.985744241800e-03,-1.010637609212e-02,-9.729371144649e-03,-9.907280484427e-03,-9.395822505087e-03
4.687500000000e-01,-9.699313705598e-03,-8.988271839670e-03,-1.161444376613e-02,-1.150041149604e-02,-1.006325213302e-02,-9.373986406672e-03
4.693750000000e-01,-1.157514726316e-02,-8.832053242875e-03,-1.194282800352e-02,-1.220755651223e-02,-1.017444251459e-02,-1.125580422812e-02
4.700000000000e-01,-1.141894413473e-02,-8.458206452209e-03,-1.086308672941e-02,-1.141316795884e-02,-1.113016855863e-02,-1.236595636335e-02
4.706250000000e-01,-9.985791598033e-03,-7.828525762140e-03,-8.671450624996e-03,-9.263585502978e-03,-1.115962707111e-02,-1.002141809112e-02
4.712500000000e-01,-7.778835843752e-03,-6.929664242341e-03,-6.025371675101e-03,-6.355584026598e-03,-8.335524522479e-03,-7.387028272053e-03
4.718750000000e-01,-3.878502916622e-03,-5.772976826434e-03,-3.631351144283e-03,-3.509400520747e-03,-3.912686432844e-03,-4.016075975332e-03
4.725000000000e-01,-1.662917817818e-03,-4.390229279430e-03,-1.936341336172e-03,-1.468248126648e-03,-6.078973930431e-04,-9.986629992602e-04
4.731250000000e-01,1.902796808689e-04,-2.826267252395e-03,-9.657050802471e-04,-5.246329915647e-04,7.100466172523e-04,-2.516880146074e-04
4.737500000000e-01,1.216648022078e-03,-1.130373128319e-03,-3.721271485295e-04,-2.875667962940e-04,5.937833514930e-04,4.185440102735e-04
4.743750000000e-01,-5.864422019139e-04,6.517299023183e-04,3.462376213800e-04,8.570044713993e-05,2.059232050960e-05,6.141560231104e-04
4.750000000000e-01,1.989200355217e-03,2.483489125779e-03,1.579507354102e-03,1.250918346633e-03,8.723812758504e-04,2.053898668090e-03
4.756250000000e-01,4.736108835249e-03,4.339632661384e-03,3.426932534459e-03,3.232064714706e-03,3.843783104673e-03,3.620711017458e-03
4.762500000000e-01,5.420664330638e-03,6.204534451218e-03,5.685153767012e-03,5.646059533048e-03,6.470471630530e-03,5.528611974424e-03
4.768750000000e-01,7.274301457762e-03,8.067505156905e-03,7.992028389336e-03,8.228017439394e-03,7.248419254481e-03,8.016963443107e-03
4.775000000000e-01,8.735654155284e-03,9.916423513465e-03,1.003456991180e-02,1.087552432537e-02,8.816384448160e-03,8.851661962425e-03
4.781250000000e-01,1.204473142490e-02,1.173151901117e-02,1.170327450468e-02,1.321614162946e-02,1.268221399615e-02,1.145741718969e-02
4.787500000000e-01,1.610919907532e-02,1.348107458296e-02,1.311315130415e-02,1.461345255316e-02,1.566482916540e-02,1.589277124228e-02
4.793750000000e-01,1.624467888367e-02,1.512035002705e-02,1.449047414275e-02,1.497878193325e-02,1.580547445854e-02,1.682618468343e-02
4.800000000000e-01,1.588406595788e-02,1.659424676573e-02,1.599919339319e-02,1.528504459194e-02,1.581761092096e-02,1.547480909167e-02
4.806250000000e-01,1.697574137376e-02,1.784332915857e-02,1.761139944593e-02,1.663829581316e-02,1.743684926193e-02,1.730610422869e-02
4.812500000000e-01,1.916220004776e-02,1.881200243460e-02,1.909714171433e-02,1.875537731467e-02,1.874424231391e-02,1.880581018703e-02
4.818750000000e-01,1.843991898276e-02,1.945711504285e-02,2.013832057214e-02,2.000479315842e-02,1.882979299423e-02,1.871745876974e-02
4.825000000000e-01,1.802221645342e-02,1.975512799490e-02,2.049978973609e-02,1.939507712975e-02,1.900619699286e-02,1.829420173825e-02
4.831250000000e-01,1.936722186961e-02,1.970630214456e-02,2.015848142194e-02,1.802968465316e-02,1.921468261652e-02,1.877012144682e-02
4.837500000000e-01,1.925963231025e-02,1.933501965873e-02,1.931603570448e-02,1.782225543444e-02,1.844268791948e-02,2.024334042038e-02
